key,auc,auprc,accuracy,precision_,recall,f1,mcc,brier,specificity,threshold,train_time,ms_per_mol,n_params,epochs_run,stopped_early
HIV_SchNet_3_5555,0.670214435,0.129489898,0.9438,0.1923,0.125,0.1515,0.1269,0.267001122,0.978,0.8583,157.5424576,33.05670913,1643009,,
HIV_SchNet_3_1111,0.665860576,0.189239964,0.9496,0.2414,0.2,0.2188,0.1939,0.155107439,0.977,0.7358,142.708127,31.738846,1643009,,
HIV_SchNet_3_2222,0.691073062,0.214147369,0.9356,0.2182,0.3636,0.2727,0.2499,0.201678604,0.9553,0.7618,160.3195467,33.30841736,1643009,,
HIV_SchNet_3_3333,0.684704485,0.182285345,0.9428,0.225,0.2571,0.24,0.2109,0.14398472,0.9678,0.6871,157.5584781,33.27024505,1643009,,
HIV_SchNet_3_4444,0.738063868,0.169097111,0.963,0.375,0.1818,0.2449,0.2441,0.124371223,0.9896,0.8488,155.4916854,32.24570455,1643009,,
HIV_SchNet_3_6666,0.666005463,0.173897122,0.9486,0.2432,0.2812,0.2609,0.2351,0.103048742,0.9709,0.711,155.2544682,33.12809073,1643009,,
HIV_SchNet_3_8888,0.685457892,0.170216903,0.9146,0.1944,0.3415,0.2478,0.2153,0.221051261,0.9392,0.8117,158.2338436,32.85446544,1643009,,
HIV_SchNet_3_314,0.740613663,0.169409025,0.9259,0.2063,0.3514,0.26,0.2326,0.10382805,0.948,0.7272,155.0835416,32.17147944,1643009,,
HIV_SchNet_3_271,0.605014715,0.063041099,0.9428,0.1591,0.2593,0.1972,0.1747,0.106851839,0.9618,0.6996,155.3267961,32.03836876,1643009,,
HIV_SchNet_3_1618,0.715080412,0.14259699,0.9538,0.2069,0.2069,0.2069,0.1831,0.197066247,0.9762,0.7362,153.62309,31.97649748,1643009,,
HIV_SchNet_3_1729,0.703035601,0.172304112,0.9708,0.4,0.2308,0.2927,0.2899,0.12182653,0.9907,0.7345,154.7594867,32.70857408,1643009,,
HIV_DimeNet_3_42,0.738844863,0.324127827,0.9698,0.48,0.4138,0.4444,0.4303,0.044493776,0.9865,0.7849,113.766969,34.1288503,878849,,
HIV_DimeNet_3_123,0.75374434,0.192110426,0.9227,0.2361,0.4359,0.3063,0.2834,0.058585029,0.9425,0.4238,111.752419,33.51950772,878849,,
HIV_DimeNet_3_456,0.734093291,0.164181928,0.9115,0.2073,0.425,0.2787,0.2549,0.083529741,0.9319,0.5348,99.61007833,32.03739296,878849,,
HIV_DimeNet_3_789,0.797822122,0.322734733,0.9417,0.3333,0.4872,0.3958,0.3736,0.084938109,0.9603,0.6413,111.7461479,33.20973454,878849,,
HIV_DimeNet_3_1024,0.621974727,0.094940414,0.9628,0.25,0.1379,0.1778,0.1678,0.131314471,0.9876,0.8116,111.3717277,32.98120436,878849,,
HIV_DimeNet_3_2048,0.676986584,0.100949807,0.9446,0.1395,0.25,0.1791,0.1598,0.076501846,0.9618,0.764,112.4301939,31.93544616,878849,,
HIV_DimeNet_3_3141,0.762460304,0.173117686,0.9096,0.1609,0.4516,0.2373,0.2312,0.064017221,0.9244,0.4312,106.7804267,32.58888772,878849,,
HIV_DimeNet_3_9999,0.766506663,0.22559981,0.9617,0.4,0.4516,0.4242,0.4053,0.086141445,0.9781,0.8208,106.5663102,32.82841617,878849,,
HIV_DimeNet_3_7777,0.736784246,0.354664899,0.9528,0.4595,0.3864,0.4198,0.3969,0.064950928,0.979,0.8847,109.0679679,32.91141844,878849,,
HIV_DimeNet_3_5555,0.664289446,0.198120736,0.9509,0.3448,0.25,0.2899,0.2688,0.112700723,0.9801,0.8097,109.553278,33.8345575,878849,,
HIV_DimeNet_3_1111,0.728825198,0.177279583,0.9113,0.1646,0.3714,0.2281,0.2061,0.234568641,0.931,0.7734,96.83026958,32.77676887,878849,,
